kHz:75;Time(UTC):93;Days:59;ITU:49;Station:201;Lng:49;Target:62;Remarks:135;P:35;Start:60;Stop:60;
13550.5;1330-1345;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
13550.5;1430-1445;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
13550.5;1530-1545;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
13550.5;1630-1645;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
13550.5;2130-2145;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
13550.5;2230-2245;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
13550.5;2330-2345;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
13565;0910-0920;Th;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;0103;3105[0516]
13570;0900-1000;;CHN;China Radio Int.;M;FE;x;0;;
13570;1000-1100;;CHN;China Radio Int.;E;FE;x;0;;
13570;1100-1200;;CHN;China Radio Int.;K;FE;x;0;;
13570;1200-1300;;CHN;China Radio Int.;K;FE;x;0;;
13570;1300-1400;;CHN;China Radio Int.;K;FE;x;0;;
13570;1700-1800;;CHN;China Radio Int.;EO;Eu;b;0;;
13570;0000-1100;;KOR;HLL Seoul Meteo Fax;;FE;sg;1;;
13580;1745-1900;;BGD;Bangladesh Betar;E;Eu;k;1;;
13575;1200-1300;;CHN;China Radio Int.;R;EEu;u;0;;
13580;0000-0100;;CHN;China Radio Int.;M;SEA;b;0;;
13580;0100-0200;;CHN;China Radio Int.;M;SEA;b;0;;
13580;1100-1200;;CHN;China Radio Int.;CA;Oc;k;0;;
13580;1600-1700;;CHN;China Radio Int.;R;EEu;b;0;;
13580;1500-1600;;EGY;Radio Cairo;AL;Eu;a;0;;[0416]
13580;2100-2300;;EGY;Radio Cairo;F;WAf;a;0;;[0416]
13580;0230-0300;;G;BBC;HI;SAs;/UZB;0;;
13580;0600-0800;;G;BBC;E;EAf;/MDG;0;;
13580;1645-1700;Sa;G;Bible Voice;A;ME;/D-n;6;0907;0907
13580;1700-1715;Sa;G;Bible Voice;A;ME;/D-n;0;;
13585;2000-2100;;KOR;KBS World Radio;A;NAf;/UAE;0;;
13585;1915-1925;Mo;RUS;S06 Russian Spy Numbers;R;RUS;xx;1;0106;3006[0614]
13590;0300-0400;;CHN;China Radio Int.;E;FE;b;0;;
13590;0400-0500;;CHN;China Radio Int.;E;FE;b;0;;
13590;1000-1100;;CHN;China Radio Int.;E;SEA;b;0;;
13590;1100-1200;;CHN;China Radio Int.;E;SEA;b;0;;
13590;0520-0620;;IRN;IRIB Voice of I.R.Iran;BOS;Eu;s;8;;
13590;1300-1400;;USA;VoA Deewa Radio;PS;AFG;/CLN-i;6;2703;0306
13590;1300-1400;;USA;VoA Deewa Radio;PS;AFG;/THA-u;6;0406;3010
13590;1400-1700;;USA;VoA Deewa Radio;PS;AFG;/KWT;0;;
13590;1700-1800;;USA;Voice of America;E;WAf;/CVA;0;;
13600;0100-0200;;CHN;China Radio Int.;R;CAs;x;0;;
13600;0200-0300;;CHN;China Radio Int.;TAM;SAs;ka;0;;
13600;0300-0400;;CHN;China Radio Int.;TAM;SAs;ka;0;;
13600;1200-1300;;CHN;China Radio Int.;R;CAs;x;0;;
13600;1300-1400;;CHN;China Radio Int.;R;CAs;x;0;;
13600;1400-1500;;CHN;China Radio Int.;TAM;SAs;ka;0;;
13600;0400-1000;;OMA;Radio Sultanate Oman;A;EAf;t;1;;[0516]
13605;1000-1100;;IND;All India Radio GOS;E;FE;b;1;;
13605;1515-1615;;IND;All India Radio GOS;SWA;EAf;b;1;;
13605;1615-1730;;IND;All India Radio GOS;HI;EAf;b;1;;
13605;2245-0045;;IND;All India Radio DIGITAL;E;FE;b;1;;
13605;2245-0045;;IND;Vividh Bharati DIGITAL;HI;FE;b;1;;
13605;1300-2000;;USA;Radio Marti;S;CUB;g;0;;
13610;0600-0900;We-Mo;CHN;China National Radio 1;M;CHN;n;1;;
13610;0900-1300;;CHN;China National Radio 1;M;CHN;n;1;;
13610;2300-0600;;CHN;China National Radio 1;M;CHN;n;1;;
13610;1100-1200;;CHN;China Radio Int.;M;SAs;ka;0;;
13610;1200-1300;;CHN;China Radio Int.;M;SAs;ka;0;;
13610;0530-0730;;IRN;IRIB Voice of I.R.Iran;A;NAf;s;8;;
13610;0600-0830;;IRN;IRIB Voice of I.R.Iran;A;NAf;s;8;;
13610;0730-1430;;IRN;IRIB Voice of I.R.Iran;A;NAf;k;8;;
13610;0930-1130;;IRN;IRIB Voice of I.R.Iran;A;NAf;s;0;;
13630;1930-2000;;CHN;China Radio Int.;P;MOZ;/MLI;0;;
13630;2000-2100;;CHN;China Radio Int.;E;EAf;/MLI;0;;
13630;2100-2130;;CHN;China Radio Int.;E;EAf;/MLI;0;;
13630;2130-2230;;CHN;China Radio Int.;F;EAf;/MLI;0;;
13630;0000-0100;;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
13630;1400-1500;;USA;Radio Liberty;UZ;CAs;/THA-u;0;;
13630;0000-0100;;USA;Voice of America;TB;FE;/THA-u;0;;
13630;1600-1630;SaSu;USA;Voice of America;KNK;EAf;/BOT;0;;
13630;1600-1630;Mo-Fr;USA;Voice of America;KNK;EAf;/BOT;0;;
13630;1630-1700;Fr;USA;Voice of America;P;SAf;/STP;0;;
13630;1700-1800;;USA;Voice of America;P;SAf;/BOT;0;;
13630;1800-1830;Mo-Fr;USA;Voice of America;P;Af;/BOT;0;;
13630;1830-1900;Mo-Fr;USA;Voice of America;KNK;EAf;/THA-u;6;2703;1704
13630;1830-1900;Mo-Fr;USA;Voice of America;KNK;EAf;/UAE;6;1804;3010
13635;0600-1300;;TUR;Voice of Turkey;TU;Eu;e;0;;
13640;0200-0300;;CHN;China Radio Int.;E;SAs;ka;0;;
13640;0400-0500;;CHN;China Radio Int.;M;SAs;ka;0;;
13640;1500-1600;;CHN;China Radio Int.;E;Eu;ka;0;;
13640;1700-1800;;CHN;China Radio Int.;R;EEu;u;0;;
13640;2200-2300;;CHN;China Radio Int.;J;FE;j;0;;
13640;2300-2400;;CHN;China Radio Int.;J;FE;j;0;;
13640;0000-0100;;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
13640;1400-1500;Sa;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
13640;2300-1700;;CHN;CNR1 Jammer/Firedrake;M;CHN;;1;;
13640;1515-1600;;IND;All India Radio GOS;GU;EAf;b;1;;
13640;1615-1730;;IND;All India Radio GOS;FS;ME;b;1;;
13640;1730-1945;;IND;All India Radio GOS;A;ME;b;1;;
13640;1945-2030;;IND;All India Radio GOS;F;WAf;b;1;;
13640;1100-1400;;TWN;Sound of Hope;M;FE;;1;;
13640;1400-1500;;TWN;Sound of Hope;M;FE;;1;;
13640;1500-1600;;TWN;Sound of Hope;M;FE;;1;;
13640;1600-1700;;TWN;Sound of Hope;M;FE;;1;;
13640;2300-1100;;TWN;Sound of Hope;M;FE;;1;;
13640;1400-1500;Sa;USA;Radio Free Asia;CA;FE;/MRA-t;0;;
13640;0000-0100;;USA;Voice of America;TB;FE;/THA-u;0;;
13645;0600-0700;;CHN;China Radio Int.;E;SEA;x;0;;
13645;1700-1800;;CHN;China Radio Int.;SWA;EAf;/MLI;0;;
13645;1800-1830;;CHN;China Radio Int.;HA;NIG;/MLI;0;;
13645;1115-1200;;IND;All India Radio GOS;T;SEA;a;1;;
13650;1300-1400;;CHN;China Radio Int.;M;CAs;u;0;;
13650;2300-2400;;CHN;China Radio Int.;P;SAm;/CUB;0;;
13650;1530-1600;Sa;EQA;HCJB Voice of Andes;R;Cau;/AUT;0;;
13650;1600-1630;Sa;EQA;HCJB Voice of Andes;CHE;Cau;/AUT;0;;
13650;0800-0900;;J;NHK Radio Japan;J;SEA;y;0;;
13650;2255-2320;;J;NHK Radio Japan;T;SEA;y;0;;
13650;2320-2340;;J;NHK Radio Japan;VN;SEA;y;0;;
13650;2340-2400;;J;NHK Radio Japan;BR;SEA;y;0;;
13650;0330-0430;;KRE;Voice of Korea;M;SEA;u;1;;
13650;0430-0530;;KRE;Voice of Korea;F;SEA;u;1;;
13650;0530-0630;;KRE;Voice of Korea;E;SEA;u;1;;
13650;0630-0730;;KRE;Voice of Korea;M;SEA;u;1;;
13650;1030-1130;;KRE;Voice of Korea;E;SEA;u;5;;
13650;1130-1230;;KRE;Voice of Korea;F;SEA;u;5;;
13650;1230-1330;;KRE;Voice of Korea KCBS;K;SEA;u;5;;
13650;1330-1430;;KRE;Voice of Korea;M;SEA;u;5;;
13650;1430-1530;;KRE;Voice of Korea KCBS;K;SEA;u;5;;
13650;2030-2100;;ROU;Radio Romania Int.;E;ENA;t;0;;
13650;1030-1100;;TUR;Voice of Turkey;UZ;CAs;e;0;;
13655;0000-0100;;CHN;China Radio Int.;M;FE;x;0;;
13655;0100-0200;;CHN;China Radio Int.;M;FE;x;0;;
13655;0200-0300;;CHN;China Radio Int.;M;FE;x;0;;
13660;0700-0800;;CHN;China Radio Int.;E;SEA;x;0;;
13660;0400-0500;;G;BBC;E;ME;/OMA-a;6;2703;1306
13660;0400-0500;;G;BBC;E;ME;/UAE;6;1406;1406
13660;0400-0500;;G;BBC;E;ME;/OMA-a;6;1506;3010
13660;0700-0800;;G;BBC;E;WAf;/ASC;0;;
13660;1800-1900;;G;BBC;E;WAf;w;6;2703;1704
13660;1800-1900;;G;BBC;E;WAf;/UAE;6;1804;3010
13660;1900-2000;;G;BBC;E;WAf;w;0;;
13660;1320-1420;;IRN;IRIB Voice of I.R.Iran;J;J;s;8;;
13660;1530-1600;;ROU;Radio Romania Int.;A;NAf;t;0;;
13660;1600-1700;;ROU;Radio Romania Int.;RO;ME;t;0;;
13665;1100-1300;;CHN;China Radio Int.;E;Eu;/ALB-c;0;;
13670;1300-1400;;CHN;China Radio Int.;E;Eu;ka;0;;
13670;1400-1600;;CHN;China Radio Int.;F;NAf;/ALB-c;0;;
13670;0000-0100;;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
13670;0230-1400;;CHN;PBS Xinjiang;UI;CHN;uc;5;;
13670;0300-1135;;CHN;PBS Xinjiang;UI;CHN;uc;4;;
13670;1135-1200;;CHN;PBS Xinjiang;UI;CHN;uc;4;;
13670;1200-1230;;CHN;PBS Xinjiang;UI;CHN;uc;4;;
13670;1600-1800;;EGY;Radio Cairo;UR;IRN;a;0;;
13670;0000-0100;;USA;Voice of America;TB;FE;/THA-u;0;;
13670;2130-2200;Mo-Fr;USA;Voice of America;BM;WAf;g;0;;
13675;1500-1700;;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
13675;1500-1700;;USA;Radio Free Asia;M;FE;/TJK;0;;
13680;1500-1600;;CHN;China Radio Int.;M;Eu;ka;0;;
13680;2130-1500;;CHN;CNR1 Jammer/Firedrake;M;FE;;1;;
13680;1430-1500;;J;NHK Radio Japan;FS;IRN;/F;0;;
13680;2100-2300;;J;NHK Radio Japan;J;SEA;y;0;;
13680;1100-1400;;TWN;Sound of Hope;M;FE;;1;;
13680;1400-1500;;TWN;Sound of Hope;M;FE;;1;;
13680;2130-2300;;TWN;Sound of Hope;M;FE;;1;;
13680;2300-1100;;TWN;Sound of Hope;M;FE;;1;;[0516]
13680;0330-0400;;USA;Voice of America;SO;EAf;/KWT;0;;
13680;1030-1100;;USA;Voice of America;SO;EAf;/BOT;0;;
13685;1300-1400;;CHN;China Radio Int.;F;EAf;/MLI;0;;
13685;1400-1500;;CHN;China Radio Int.;E;EAf;/MLI;0;;
13685;1500-1600;;CHN;China Radio Int.;E;EAf;/MLI;0;;
13685;1830-1930;;CHN;China Radio Int.;A;NAf;/MLI;0;;
13685;0400-0500;;F;Radio France Int.;F;EAf;;0;;
13685;0700-0730;;F;Radio France Int.;HA;CAf;;0;;
13685;1150-1220;;IRN;IRIB Voice of I.R.Iran;HB;ME;s;0;;
13690;0000-0100;;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
13690;1300-1400;;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
13690;1430-1730;;IRN;IRIB Voice of I.R.Iran;A;ME;k;8;;
13690;0000-0100;;USA;Voice of America;TB;FE;/THA-u;0;;
13690;1300-1400;;USA;Voice of America;M;FE;/MRA-s;0;;
13695;2100-2200;Mo;ARG;La Rosa de Tokio;S;WNA;/USA-o;0;;
13695;2100-2115;We;CYP;FG Radio;E;ENA;/USA-o;0;;
13695;0500-0600;;F;Radio France Int.;F;CAf;;0;;
13695;0600-0659;;F;Radio France Int.;F;WAf;;0;;
13695;0700-0800;;F;Radio France Int.;F;WAf;;0;;
13695;0800-0900;;F;Radio France Int.;F;WAf;;0;;
13695;2000-2030;;F;Radio France Int.;HA;CAf;;6;2703;0209
13695;2100-2130;Tu;I;Studio DX;I;WNA;/USA-o;0;;
13695;0215-0300;;IND;All India Radio GOS;KAN;ME;b;1;;
13695;0315-0415;;IND;All India Radio GOS;HI;ME;b;1;;
13695;1000-1100;;IND;All India Radio GOS;E;Oc;b;1;;
13695;1115-1215;;IND;All India Radio GOS;TAM;SEA;b;1;;
13695;1215-1245;;IND;All India Radio GOS;TEL;SEA;b;1;;
13695;1745-1945;;IND;All India Radio GOS;E;EAf;b;1;;
13695;2100-2130;SaSu;SVK;Radio Slovakia Int.;E;WNA;/USA-o;0;;
13695;2100-2130;Fr;USA;Adventist World Radio;E;WNA;o;0;;
13695;2130-2200;We;USA;Adventist World Radio;E;WNA;o;0;;
13695;2130-2200;Th;USA;Blues Radio Int.;E;WNA;o;0;;
13695;1400-2100;;USA;Brother Stair;E;WNA;o;0;;
13695;2200-2300;;USA;Brother Stair;E;WNA;o;0;;
13695;2130-2200;Tu;USA;Frecuencia al Día;S;WNA;o;0;;
13695;2100-2130;Th;USA;World of Radio;E;WNA;o;0;;
13695;2130-2200;Fr;USA;World of Radio;E;WNA;o;0;;
13695;2115-2130;We;USA;WRMI Radio Miami Int.;E;WNA;o;0;;
13695;2130-2200;SaSu;USA;WRMI Radio Miami Int.;E;WNA;o;0;;
13700;0200-0600;;CHN;China National Radio 13;UI;CHN;L;4;;
13700;0600-0900;We-Mo;CHN;China National Radio 13;UI;CHN;L;1;;
13700;0900-1100;;CHN;China National Radio 13;UI;CHN;L;4;;
13700;0900-1400;;CHN;China National Radio 13;UI;CHN;L;5;;
13700;2355-0600;;CHN;China National Radio 13;UI;CHN;L;5;;
13700;1800-1900;;CHN;China Radio Int.;AM;SEu;u;0;;
13700;1500-1530;;USA;Voice of America;HA;WAf;/STP;0;;
13700;1530-1600;Mo-Fr;USA;Voice of America;HA;WAf;/STP;0;;
13710.1;1500-1800;;ARS;BSKSA Holy Quran;A;NAf;;1;;
13710;0700-0900;;CHN;China Radio Int.;E;Eu;/ALB-c;0;;
13710;1400-1500;;CHN;China Radio Int.;E;Eu;ka;0;;
13710;1330-1500;;IND;All India Radio GOS;E;SEA;b;1;;
13710;0420-0550;;IRN;IRIB Voice of I.R.Iran;TU;ME;s;0;;
13710;2000-2100;;MDG;MWV Radio Feda;EGY;EGY;m;0;;
13710;1200-1300;;TUR;Voice of Turkey;UR;PAK;e;0;;
13715;2320-0020;;IRN;IRIB Voice of I.R.Iran;M;FE;s;8;;
13720;0700-0855;;ARS;BSKSA Riad;SO;EAf;;1;1705;[0616]
13720;0300-0400;;CHN;China Radio Int.;HI;SAs;ka;0;;
13720;1000-1100;;CHN;China Radio Int.;E;SEA;x;0;;
13720;1100-1200;;CHN;China Radio Int.;E;SEA;x;0;;
13720;1700-1900;;J;NHK Radio Japan;J;SAm;y;0;;
13720;1300-1700;;USA;Radio Liberty;R;EEu;/D-L;6;2703;2506
13722;1400-1410;Tu,Sa;POL;E11 Polish Spy Numbers;E;;p;1;0105;3108[0815]
13725;0600-0700;;F;Radio France Int.;E;CAf;;0;;
13730;0300-0400;;CHN;China Radio Int.;TAM;SAs;k;0;;
13730;0430-0530;;G;BBC;FS;IRN;/MDA;8;;
13730;0720-0820;;IRN;IRIB Voice of I.R.Iran;PS;SAs;s;8;;
13730;1220-1320;;IRN;IRIB Voice of I.R.Iran;PS;SAs;k;8;;
13730;1820-1920;;IRN;IRIB Voice of I.R.Iran;F;WAf;s;0;;
13730;1729-1800;;J;NHK Radio Japan;SWA;EAf;/MDG;0;;
13730;2300-2400;;ROU;Radio Romania Int.;S;SAm;t;0;;
13730;0030-0100;;USA;VoA Radio Ashna;PS;IRN;/THA-u;0;;
13730;0100-0130;;USA;VoA Radio Ashna;DR;IRN;/THA-u;0;;
13730;0130-0200;;USA;VoA Radio Ashna;PS;IRN;/THA-u;0;;
13730;0200-0230;;USA;VoA Radio Ashna;DR;IRN;/THA-u;0;;
13730;1430-1500;;USA;VoA Radio Ashna;PS;IRN;/KWT;0;;
13730;1500-1630;;USA;VoA Radio Ashna;DR;IRN;/KWT;0;;
13730;1630-1730;;USA;VoA Radio Ashna;PS;IRN;/KWT;0;;
13740;1400-1500;Tu,Th;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
13740;0000-0100;;CUB;Radio Habana Cuba;S;SAm;b;1;;
13740;0100-0200;;CUB;Radio Habana Cuba;S;SAm;b;1;;
13740;0200-0400;;CUB;Radio Habana Cuba;S;SAm;b;5;1004;
13740;0200-0500;;CUB;Radio Habana Cuba;S;SAm;b;4;;
13740;2100-2300;;CUB;Radio Habana Cuba;S;SAm;b;2;;
13740;2300-2400;;CUB;Radio Habana Cuba;S;SAm;b;5;;
13740;0530-0600;;F;Radio France Int.;SWA;EAf;;0;;
13740;1200-1300;;F;Radio France Int.;F;WAf;;0;;
13740;1700-1759;;F;Radio France Int.;F;WAf;;0;;
13740;1800-1900;;F;Radio France Int.;F;CAf;;0;;
13740;1900-2000;;F;Radio France Int.;F;WAf;;0;;
13740;0250-0620;;IRN;IRIB Voice of I.R.Iran;DR;CAs;a;0;;
13740;0550-0820;;IRN;IRIB Voice of I.R.Iran;DR;CAs;s;0;;
13740;0950-1150;;IRN;IRIB Voice of I.R.Iran;DR;CAs;s;0;;
13740;1300-1400;;ROU;Radio Romania Int.;R;CAs;t;0;;
13740;1400-1500;Tu,Th;USA;Radio Free Asia;CA;FE;/MRA-t;0;;
13740;2230-2330;;USA;Radio Free Asia;KH;SEA;/MRA-s;0;;
13745;1500-1600;2467;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
13745;1500-1600;2467;USA;Radio Free Asia;TB;FE;/MRA-t;0;;
13750;0000-0100;;CHN;China Radio Int.;E;FE;b;0;;
13750;1600-1630;Sa;D;Mission.Friedensstimme;R;EEu;n;0;;
13750;0600-0630;;F;Radio France Int.;HA;CAf;;0;;
13750;0450-0550;;IRN;IRIB Voice of I.R.Iran;SWA;EAf;s;0;;
13750;0630-0700;;ROU;Radio Romania Int.;A;NAf;t;0;;
13750;0800-0900;Su;ROU;Radio Romania Int.;RO;ME;t;0;;
13750;1630-1700;Mo-Fr;USA;Voice of America;E;EAf;/UAE;0;;
13755;1100-1200;;CHN;China Radio Int.;M;SAs;ka;0;;
13755;1200-1300;;CHN;China Radio Int.;M;SAs;ka;0;;
13755;1300-1400;;CHN;China Radio Int.;E;SAs;ka;0;;
13755;1500-1600;;CHN;China Radio Int.;M;Eu;ka;0;;
13755;0900-1100;;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
13755;1400-1500;135;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
13755;1400-1500;135;USA;Radio Free Asia;CA;FE;/MRA-t;0;;
13755;0900-1100;;USA;Voice of America;M;FE;/THA-u;0;;
13760;1600-1700;;CHN;China Radio Int.;E;Eu;ka;0;;
13760;1700-1800;;CHN;China Radio Int.;E;Eu;ka;0;;
13760;1800-1900;;CHN;China Radio Int.;E;Eu;ka;0;;
13760;0000-0100;;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
13760;0330-0430;;KRE;Voice of Korea;S;LAm;u;1;;
13760;0430-0530;;KRE;Voice of Korea;E;LAm;u;1;;
13760;0530-0630;;KRE;Voice of Korea;S;LAm;u;1;;
13760;0630-0730;;KRE;Voice of Korea;F;LAm;u;1;;
13760;0730-0930;;KRE;Voice of Korea;R;Eu;u;1;;
13760;0930-1030;;KRE;Voice of Korea;K;Eu;u;8;;
13760;1330-1430;;KRE;Voice of Korea;E;Eu;u;5;;
13760;1430-1530;;KRE;Voice of Korea;F;Eu;u;5;;
13760;1530-1630;;KRE;Voice of Korea;E;Eu;u;5;;
13760;1630-1730;;KRE;Voice of Korea;F;Eu;u;5;;
13760;1730-1830;;KRE;Voice of Korea KCBS;K;Eu;u;5;;
13760;1830-1930;;KRE;Voice of Korea;E;Eu;u;5;;
13760;1930-2030;;KRE;Voice of Korea;S;Eu;u;5;;
13760;2030-2130;;KRE;Voice of Korea;F;Eu;u;5;;
13760;2130-2230;;KRE;Voice of Korea;E;Eu;u;5;;
13760;2230-2330;;KRE;Voice of Korea;S;Eu;u;5;;
13760;2330-0030;;KRE;Voice of Korea KCBS;K;Eu;u;5;;
13760;1130-1230;;TUR;Voice of Turkey;D;Eu;e;0;;
13760;0000-0100;;USA;Voice of America;TB;FE;/THA-u;0;;
13765;0530-0600;;CVA;Radio Vaticana;P;AGL;;5;;
13765;0600-0630;;CVA;Radio Vaticana;F;CAf;;5;;
13765;0630-0700;;CVA;Radio Vaticana;E;CAf;;5;;
13765;1600-1615;Sa;CVA;Radio Vaticana;SWA;EAf;/MDG;0;;
13765;1600-1630;Su-Fr;CVA;Radio Vaticana;SWA;EAf;/MDG;0;;
13765;1615-1630;Sa;CVA;Radio Vaticana;SO;EAf;/MDG;0;;
13765;1630-1645;;CVA;Radio Vaticana;AH;EAf;/MDG;0;;
13765;1645-1700;;CVA;Radio Vaticana;TIG;EAf;/MDG;0;;
13765;1700-1730;;CVA;Radio Vaticana;F;CAf;/MDG;0;;
13765;1730-1800;;CVA;Radio Vaticana;E;SAf;;5;;
13765;1800-1830;;CVA;Radio Vaticana;P;SAf;;5;;
13765;1840-1900;;CVA;Radio Vaticana;L;WAf;;5;;
13765;1900-1930;Sa;CVA;Radio Vaticana;S;WAf;;5;;
13765;2000-2030;;CVA;Radio Vaticana;E;WAf;;5;;
13765;2030-2115;;CVA;Radio Vaticana;F;WAf;;5;;
13770;0000-0100;;CHN;China Radio Int.;VN;SEA;x;0;;
13770;0420-0450;;IRN;IRIB Voice of I.R.Iran;HB;ME;s;0;;
13775.1;1200-1500;;ARS;BSKSA Riad;UR;SAs;;1;;[1115]
13775;2300-1100;;CHN;CNR1 Jammer/Firedrake;M;CHN;;1;;
13775.1;2300-1100;;TWN;Sound of Hope;M;FE;;1;;
13780;0130-0230;;CHN;China Radio Int.;NE;FE;k;0;;
13780;0230-0330;;CHN;China Radio Int.;NE;FE;k;0;;
13780;0530-1130;;IRN;IRIB Voice of I.R.Iran;A;ME;s;0;;
13780;1520-1620;;IRN;IRIB Voice of I.R.Iran;E;SAs;s;0;;[0416]
13785;1630-1730;;CHN;China Radio Int.;HA;NIG;ka;0;;
13785;1130-1430;;IRN;IRIB Voice of I.R.Iran;A;ME;s;0;;[0416]
13790;0900-1000;;CHN;China Radio Int.;E;Oc;j;0;;
13790;1000-1100;;CHN;China Radio Int.;E;Oc;j;0;;
13790;1600-1800;;CHN;China Radio Int.;A;ME;ka;0;;
13790;0300-0700;;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
13790;1500-1600;135;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
13790;1100-1200;;ROU;Radio Romania Int.;E;WEu;t;0;;
13790;1200-1230;;ROU;Radio Romania Int.;A;NAf;t;0;;
13790;0300-0700;;USA;Radio Free Asia;M;FE;/MRA-s;0;;
13790;1500-1600;135;USA;Radio Free Asia;TB;FE;/MRA-t;0;;
13795;0000-0045;;IND;All India Radio GOS;TAM;SEA;b;1;;
13795;2300-2400;;IND;All India Radio GOS;HI;SEA;b;1;;
13795;1250-1420;;IRN;IRIB Voice of I.R.Iran;UR;SAs;s;0;;[0416]
13800;1000-1100;;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
13800;1530-1600;Sa;EQA;HCJB Voice of Andes;R;Cau;/D-n;0;;
13800;1600-1630;Sa;EQA;HCJB Voice of Andes;CHE;Cau;/D-n;0;;
13800;0430-0530;;HOL;Radio Dabanga;SUD;EAf;/MDG;0;;
13800;0530-0600;;HOL;Radio Dabanga;SUD;EAf;/D-n;0;;
13800;0800-1510;;SOM;Puntland Radio One;SO;SOM;g;1;;[0816]
13800;1000-1100;;USA;Radio Free Asia;TB;FE;/KWT;0;;
13805;0000-0100;;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
13805;0000-0100;;USA;Voice of America;TB;FE;/THA-u;0;;
13810;1200-1400;;CHN;China Radio Int.;M;EAf;ka;0;;
13810;0000-0100;;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
13810;1600-1700;;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
13810;1700-1715;467;G;Bible Voice;A;ME;/BUL-s;0;;
13810;1700-1745;Tu;G;Bible Voice;A;ME;/BUL-s;0;;
13810;1700-1800;135;G;Bible Voice;A;ME;/BUL-s;0;;
13810;1600-1700;;USA;Radio Free Asia;M;FE;/MRA-s;0;;
13810;0000-0100;;USA;Voice of America;TB;FE;/THA-u;0;;
13820;1800-1900;;ALG;Radio Algerienne;A;CAf;/F;0;;
13820;1900-2000;;ALG;Radio Algerienne;A;CAf;/F;0;;
13820;1400-1500;Su;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
13820;2130-1400;;CHN;CNR1 Jammer/Firedrake;M;CHN;;1;;[0515]
13820;1600-1800;;EGY;Radio Cairo;UR;IRN;a;0;;
13820;1100-1400;;TWN;Sound of Hope;M;FE;;1;;
13820;2130-2300;;TWN;Sound of Hope;M;FE;;1;;
13820;2300-1100;;TWN;Sound of Hope;M;FE;;1;;[1215]
13820.1;1230-1330;;USA;Radio Free Asia;BR;SEA;/UAE;0;;
13820;1400-1500;Su;USA;Radio Free Asia;CA;FE;/MRA-t;0;;
13825;0330-0430;;G;BBC;FS;IRN;/UZB;0;;
13830;1100-1400;;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
13830;1545-1600;;G;BBC;TAM;CLN;/THA-n;0;;
13830;1630-1700;;G;BBC;SI;CLN;/THA-n;0;;
13830;1420-1520;;IRN;IRIB Voice of I.R.Iran;HI;SAs;s;0;;[0416]
13830;1100-1400;;USA;Radio Free Asia;TB;FE;/TJK;0;;
13830;0530-0630;Mo-Fr;USA;Voice of America;F;Af;/BOT;0;;
13830;1700-2100;;USA;WEWN EWTN Catholic R.;S;Car;b;1;;
13830;2100-2400;;USA;WEWN EWTN Catholic R.;S;SAm;b;1;;
13840;0820-1420;;IRN;IRIB Voice of I.R.Iran;DR;CAs;a;8;;
13840;1220-1320;;IRN;IRIB Voice of I.R.Iran;PS;SAs;a;0;;
13840;1420-1520;;IRN;IRIB Voice of I.R.Iran;BE;SAs;a;0;;
13840;0530-0600;;J;NHK Radio Japan;F;CAf;/MDG;0;;
13840;0100-0400;;USA;VoA Deewa Radio;PS;AFG;/CLN-i;6;2703;0306
13840;0100-0300;;USA;VoA Deewa Radio;PS;AFG;/THA-u;6;0906;0107
13840;0300-0400;;USA;VoA Deewa Radio;PS;AFG;/D-L;6;0906;0107
13845;1200-1500;SaSu;USA;Dr.Gene Scott;E;NAm;n;0;;
13845;1500-1600;Su-Fr;USA;Dr.Gene Scott;E;NAm;n;0;;
13845;1600-1700;Mo-Fr;USA;Dr.Gene Scott;E;NAm;n;0;;
13845;1700-2400;;USA;Dr.Gene Scott;E;NAm;n;0;;
13845;1200-1500;Mo-Fr;USA;WWCR 3 Nashville, TN;E;NAm;n;0;;
