"195","3C0","Annobon I.","AF","1.30N","5.36E","36","52","A","11-15-45","3C0","",""
"015","UA9","Russia-Asiatic","AS","48.00N","135.00E","17","20","A","11-15-45","US0 < 03-31-93,UA8,UA9,UA0,RA8,RA9,RA0,RU9,UW8,UW9,UW0,RV8,RV9,RV0,RW8,RW9,RW0,RK8,UZ8,UZ9,UZ0,RZ8,RZ9,RZ0,EX8,EX9,EX0,UV8,UV9,UV0,4K4 < 01-01-94,U8,U9,U0,R8,R9,R0,EK8,EK9,EK0,EY8,EY9,EY0,EM8,EM9,EM0,EN8,EN9,EN0,EO8,EO9,EO0,ER8,ER9,ER0,EZ8,EZ9,EZ0,4L0 < 03-01-93,4L9 < 03-01-93,EU8,EU9,EU0,4K4 < 01-01-94,4Z5KI,RK9,RK0,RX0,RX9,UK0,UK9,UX9,UI0 > 06-01-95,UI8 > 06-01-95,UI9 > 06-01-95,RQ8 > 11-06-95,RQ9 >11-06-95,RQ0 > 11-06-95,RM8 > 11-06-95,RM9 > 11-06-95,RM0 > 11-06-95,RS0 > 11-06-95,RS9 > 11-06-95","",""
"015","UA0","Russia-Asiatic","AS","48.00N","135.00E","17","20","A","11-15-45","US0 < 03-31-93,UA8,UA9,UA0,RA8,RA9,RA0,RU9,UW8,UW9,UW0,RV8,RV9,RV0,RW8,RW9,RW0,RK8,UZ8,UZ9,UZ0,RZ8,RZ9,RZ0,EX8,EX9,EX0,UV8,UV9,UV0,4K4 < 01-01-94,U8,U9,U0,R8,R9,R0,EK8,EK9,EK0,EY8,EY9,EY0,EM8,EM9,EM0,EN8,EN9,EN0,EO8,EO9,EO0,ER8,ER9,ER0,EZ8,EZ9,EZ0,4L0 < 03-01-93,4L9 < 03-01-93,EU8,EU9,EU0,4K4 < 01-01-94,4Z5KI,RK9,RK0,RX0,RX9,UK0,UK9,UX9,UI0 > 06-01-95,UI8 > 06-01-95,UI9 > 06-01-95,RQ8 > 11-06-95,RQ9 >11-06-95,RQ0 > 11-06-95,RM8 > 11-06-95,RM9 > 11-06-95,RM0 > 11-06-95,RS0 > 11-06-95,RS9 > 11-06-95","",""
"015","UA8","Russia-Asiatic","AS","48.00N","135.00E","17","20","A","11-15-45","US0 < 03-31-93,UA8,UA9,UA0,RA8,RA9,RA0,RU9,UW8,UW9,UW0,RV8,RV9,RV0,RW8,RW9,RW0,RK8,UZ8,UZ9,UZ0,RZ8,RZ9,RZ0,EX8,EX9,EX0,UV8,UV9,UV0,4K4 < 01-01-94,U8,U9,U0,R8,R9,R0,EK8,EK9,EK0,EY8,EY9,EY0,EM8,EM9,EM0,EN8,EN9,EN0,EO8,EO9,EO0,ER8,ER9,ER0,EZ8,EZ9,EZ0,4L0 < 03-01-93,4L9 < 03-01-93,EU8,EU9,EU0,4K4 < 01-01-94,4Z5KI,RK9,RK0,RX0,RX9,UK0,UK9,UX9,UI0 > 06-01-95,UI8 > 06-01-95,UI9 > 06-01-95,RQ8 > 11-06-95,RQ9 >11-06-95,RQ0 > 11-06-95,RM8 > 11-06-95,RM9 > 11-06-95,RM0 > 11-06-95,RS0 > 11-06-95,RS9 > 11-06-95","",""
"015","RA9","Russia-Asiatic","AS","48.00N","135.00E","17","20","A","11-15-45","US0 < 03-31-93,UA8,UA9,UA0,RA8,RA9,RA0,RU9,UW8,UW9,UW0,RV8,RV9,RV0,RW8,RW9,RW0,RK8,UZ8,UZ9,UZ0,RZ8,RZ9,RZ0,EX8,EX9,EX0,UV8,UV9,UV0,4K4 < 01-01-94,U8,U9,U0,R8,R9,R0,EK8,EK9,EK0,EY8,EY9,EY0,EM8,EM9,EM0,EN8,EN9,EN0,EO8,EO9,EO0,ER8,ER9,ER0,EZ8,EZ9,EZ0,4L0 < 03-01-93,4L9 < 03-01-93,EU8,EU9,EU0,4K4 < 01-01-94,4Z5KI,RK9,RK0,RX0,RX9,UK0,UK9,UX9,UI0 > 06-01-95,UI8 > 06-01-95,UI9 > 06-01-95,RQ8 > 11-06-95,RQ9 >11-06-95,RQ0 > 11-06-95,RM8 > 11-06-95,RM9 > 11-06-95,RM0 > 11-06-95,RS0 > 11-06-95,RS9 > 11-06-95","",""
"015","RA0","Russia-Asiatic","AS","48.00N","135.00E","17","20","A","11-15-45","US0 < 03-31-93,UA8,UA9,UA0,RA8,RA9,RA0,RU9,UW8,UW9,UW0,RV8,RV9,RV0,RW8,RW9,RW0,RK8,UZ8,UZ9,UZ0,RZ8,RZ9,RZ0,EX8,EX9,EX0,UV8,UV9,UV0,4K4 < 01-01-94,U8,U9,U0,R8,R9,R0,EK8,EK9,EK0,EY8,EY9,EY0,EM8,EM9,EM0,EN8,EN9,EN0,EO8,EO9,EO0,ER8,ER9,ER0,EZ8,EZ9,EZ0,4L0 < 03-01-93,4L9 < 03-01-93,EU8,EU9,EU0,4K4 < 01-01-94,4Z5KI,RK9,RK0,RX0,RX9,UK0,UK9,UX9,UI0 > 06-01-95,UI8 > 06-01-95,UI9 > 06-01-95,RQ8 > 11-06-95,RQ9 >11-06-95,RQ0 > 11-06-95,RM8 > 11-06-95,RM9 > 11-06-95,RM0 > 11-06-95,RS0 > 11-06-95,RS9 > 11-06-95","",""
"015","RA8","Russia-Asiatic","AS","48.00N","135.00E","17","20","A","11-15-45","US0 < 03-31-93,UA8,UA9,UA0,RA8,RA9,RA0,RU9,UW8,UW9,UW0,RV8,RV9,RV0,RW8,RW9,RW0,RK8,UZ8,UZ9,UZ0,RZ8,RZ9,RZ0,EX8,EX9,EX0,UV8,UV9,UV0,4K4 < 01-01-94,U8,U9,U0,R8,R9,R0,EK8,EK9,EK0,EY8,EY9,EY0,EM8,EM9,EM0,EN8,EN9,EN0,EO8,EO9,EO0,ER8,ER9,ER0,EZ8,EZ9,EZ0,4L0 < 03-01-93,4L9 < 03-01-93,EU8,EU9,EU0,4K4 < 01-01-94,4Z5KI,RK9,RK0,RX0,RX9,UK0,UK9,UX9,UI0 > 06-01-95,UI8 > 06-01-95,UI9 > 06-01-95,RQ8 > 11-06-95,RQ9 >11-06-95,RQ0 > 11-06-95,RM8 > 11-06-95,RM9 > 11-06-95,RM0 > 11-06-95,RS0 > 11-06-95,RS9 > 11-06-95","",""
"015","UW9","Russia-Asiatic","AS","48.00N","135.00E","17","20","A","11-15-45","US0 < 03-31-93,UA8,UA9,UA0,RA8,RA9,RA0,RU9,UW8,UW9,UW0,RV8,RV9,RV0,RW8,RW9,RW0,RK8,UZ8,UZ9,UZ0,RZ8,RZ9,RZ0,EX8,EX9,EX0,UV8,UV9,UV0,4K4 < 01-01-94,U8,U9,U0,R8,R9,R0,EK8,EK9,EK0,EY8,EY9,EY0,EM8,EM9,EM0,EN8,EN9,EN0,EO8,EO9,EO0,ER8,ER9,ER0,EZ8,EZ9,EZ0,4L0 < 03-01-93,4L9 < 03-01-93,EU8,EU9,EU0,4K4 < 01-01-94,4Z5KI,RK9,RK0,RX0,RX9,UK0,UK9,UX9,UI0 > 06-01-95,UI8 > 06-01-95,UI9 > 06-01-95,RQ8 > 11-06-95,RQ9 >11-06-95,RQ0 > 11-06-95,RM8 > 11-06-95,RM9 > 11-06-95,RM0 > 11-06-95,RS0 > 11-06-95,RS9 > 11-06-95","",""
"015","UW8","Russia-Asiatica","AS","48.00N","135.00E","17","20","A","11-15-45","US0 < 03-31-93,UA8,UA9,UA0,RA8,RA9,RA0,RU9,UW8,UW9,UW0,RV8,RV9,RV0,RW8,RW9,RW0,RK8,UZ8,UZ9,UZ0,RZ8,RZ9,RZ0,EX8,EX9,EX0,UV8,UV9,UV0,4K4 < 01-01-94,U8,U9,U0,R8,R9,R0,EK8,EK9,EK0,EY8,EY9,EY0,EM8,EM9,EM0,EN8,EN9,EN0,EO8,EO9,EO0,ER8,ER9,ER0,EZ8,EZ9,EZ0,4L0 < 03-01-93,4L9 < 03-01-93,EU8,EU9,EU0,4K4 < 01-01-94,4Z5KI,RK9,RK0,RX0,RX9,UK0,UK9,UX9,UI0 > 06-01-95,UI8 > 06-01-95,UI9 > 06-01-95,RQ8 > 11-06-95,RQ9 >11-06-95,RQ0 > 11-06-95,RM8 > 11-06-95,RM9 > 11-06-95,RM0 > 11-06-95,RS0 > 11-06-95,RS9 > 11-06-95","",""
"015","UW0","Russia-Asiatic","AS","48.00N","135.00E","17","20","A","11-15-45","US0 < 03-31-93,UA8,UA9,UA0,RA8,RA9,RA0,RU9,UW8,UW9,UW0,RV8,RV9,RV0,RW8,RW9,RW0,RK8,UZ8,UZ9,UZ0,RZ8,RZ9,RZ0,EX8,EX9,EX0,UV8,UV9,UV0,4K4 < 01-01-94,U8,U9,U0,R8,R9,R0,EK8,EK9,EK0,EY8,EY9,EY0,EM8,EM9,EM0,EN8,EN9,EN0,EO8,EO9,EO0,ER8,ER9,ER0,EZ8,EZ9,EZ0,4L0 < 03-01-93,4L9 < 03-01-93,EU8,EU9,EU0,4K4 < 01-01-94,4Z5KI,RK9,RK0,RX0,RX9,UK0,UK9,UX9,UI0 > 06-01-95,UI8 > 06-01-95,UI9 > 06-01-95,RQ8 > 11-06-95,RQ9 >11-06-95,RQ0 > 11-06-95,RM8 > 11-06-95,RM9 > 11-06-95,RM0 > 11-06-95,RS0 > 11-06-95,RS9 > 11-06-95","",""
"015","UA9","Russia-Asiatic","AS","48.00N","135.00E","17","20","A","11-15-45","US0 < 03-31-93,UA8,UA9,UA0,RA8,RA9,RA0,RU9,UW8,UW9,UW0,RV8,RV9,RV0,RW8,RW9,RW0,RK8,UZ8,UZ9,UZ0,RZ8,RZ9,RZ0,EX8,EX9,EX0,UV8,UV9,UV0,4K4 < 01-01-94,U8,U9,U0,R8,R9,R0,EK8,EK9,EK0,EY8,EY9,EY0,EM8,EM9,EM0,EN8,EN9,EN0,EO8,EO9,EO0,ER8,ER9,ER0,EZ8,EZ9,EZ0,4L0 < 03-01-93,4L9 < 03-01-93,EU8,EU9,EU0,4K4 < 01-01-94,4Z5KI,RK9,RK0,RX0,RX9,UK0,UK9,UX9,UI0 > 06-01-95,UI8 > 06-01-95,UI9 > 06-01-95,RQ8 > 11-06-95,RQ9 >11-06-95,RQ0 > 11-06-95,RM8 > 11-06-95,RM9 > 11-06-95,RM0 > 11-06-95,RS0 > 11-06-95,RS9 > 11-06-95","",""
"016","ZL9","Auckland & Campbell Is.","OC","52.30S","169.00E","32","60","A","11-15-45","ZL9,ZM9,ZL2BCF/A","",""
"017","YV0","Aves I.","NA","15.300N","63.30W","8","11","A","11-15-45","YV0,4M0,YW0,YY0,YX0","",""
"018","4J","Azerbaijan","AS","40.30N","50.00E","21","29","A","11-15-45","4J,4K,UD,RD,U6D,R6D,EK6D,EM6D,EN6D,EO6D,ER6D < 06-30-93,EX6D,EY6D,EZ6D,RK6D,UK6C,UK6D,UK6K,4K5 > 01-01-94,4K6 > 01-01-94,4K0 > 01-01-94,4K3,4K4 > 01-01-94,4K7 > 01-01-94,4K8 > 01-01-94,4K9 > 01-01-94,4K2 > 07-01-94","",""
"019","HK0/B","Bajo Nuevo","NA","15.50N","78.40W","8","11","D","09-16-81","HK0AB","",""
"020","KH1","Baker & Howland Is.","OC","0.30N","176.00W","31","61","A","11-15-45","KH1,AH1,WH1,NH1","",""
"021","EA6","Balearic Is.","EU","39.30N","3.00E","14","37","A","11-15-45","EA6,EC6,ED6,EE6,EF6,EG6,EH6,AM6,AN6,AO6,EB6","",""
"021","EB6","Balearic Is.","EU","39.30N","3.00E","14","37","A","11-15-45","EA6,EC6,ED6,EE6,EF6,EG6,EH6,AM6,AN6,AO6,EB6","",""
"021","EC6","Balearic Is.","EU","39.30N","3.00E","14","37","A","11-15-45","EA6,EC6,ED6,EE6,EF6,EG6,EH6,AM6,AN6,AO6,EB6","",""
"021","ED6","Balearic Is.","EU","39.30N","3.00E","14","37","A","11-15-45","EA6,EC6,ED6,EE6,EF6,EG6,EH6,AM6,AN6,AO6,EB6","",""
"021","EE6","Balearic Is.","EU","39.30N","3.00E","14","37","A","11-15-45","EA6,EC6,ED6,EE6,EF6,EG6,EH6,AM6,AN6,AO6,EB6","",""
"021","EF6","Balearic Is.","EU","39.30N","3.00E","14","37","A","11-15-45","EA6,EC6,ED6,EE6,EF6,EG6,EH6,AM6,AN6,AO6,EB6","",""
"021","EG6","Balearic Is.","EU","39.30N","3.00E","14","37","A","11-15-45","EA6,EC6,ED6,EE6,EF6,EG6,EH6,AM6,AN6,AO6,EB6","",""
"021","EH6","Balearic Is.","EU","39.30N","3.00E","14","37","A","11-15-45","EA6,EC6,ED6,EE6,EF6,EG6,EH6,AM6,AN6,AO6,EB6","",""
"021","AM6","Balearic Is.","EU","39.30N","3.00E","14","37","A","11-15-45","EA6,EC6,ED6,EE6,EF6,EG6,EH6,AM6,AN6,AO6,EB6","",""
"021","AN6","Balearic Is.","EU","39.30N","3.00E","14","37","A","11-15-45","EA6,EC6,ED6,EE6,EF6,EG6,EH6,AM6,AN6,AO6,EB6","",""
"021","AO6","Balearic Is.","EU","39.30N","3.00E","14","37","A","11-15-45","EA6,EC6,ED6,EE6,EF6,EG6,EH6,AM6,AN6,AO6,EB6","",""
"022","T8","Palau","OC","8.00N","158.00E","27","64","A","11-15-45","KC6AA,KC6CS,KC6CT,KC6CW,KC6DX,KC6MZ,KC6XO,T8","",""
"024","3Y","Bouvet","AN","54.30S","3.00E","38","67","A","11-15-45","3Y","",""
"025","ZC5","British North Borneo","OC","5.00N","117.00E","28","54","D","09-15-63","ZC5","",""
"026","VQ6","British Somaliland","AF","9.99N","46.70E","37","48","D","06-30-60","VQ6","",""
"027","EU","Belarus","EU","54.00N","27.30E","16","29","A","11-15-45","UC,EU > 01-01-94,EV > 01-01-94,EW > 01-01-94,RC,RK2C,U2C,R2C,EK2C,EM2C,EN2C,EO2C,ER2C,EX2C,EY2C,EZ2C,EK2A,EK2C,EK2I,EK2L,EK2O,EK2S,EK2W,EM2A,EM2I,EM2L,EM2O,EM2S,EM2W,EN2A,EN2I,EN2L,EN2O,EN2S,EN2W,EO2A,EO2I,EO2L,EO2O,EO2S,EO2W,ER2A < 06-30-93,ER2I < 06-30-93,ER2L < 06-30-93,ER2O < 06-30-93,ER2S < 06-30-93,ER2W < 06-30-93,EU2A,EU2C,EU2I,EU2L,EU2O,EU2S,EU2W,EV2A,UK2A,UK2C,UK2I,UK2L,UK2O,UK2S,UK2W","",""
"027","EW","Belarus","EU","54.00N","27.30E","16","29","A","11-15-45","UC,EU > 01-01-94,EV > 01-01-94,EW > 01-01-94,RC,RK2C,U2C,R2C,EK2C,EM2C,EN2C,EO2C,ER2C,EX2C,EY2C,EZ2C,EK2A,EK2C,EK2I,EK2L,EK2O,EK2S,EK2W,EM2A,EM2I,EM2L,EM2O,EM2S,EM2W,EN2A,EN2I,EN2L,EN2O,EN2S,EN2W,EO2A,EO2I,EO2L,EO2O,EO2S,EO2W,ER2A < 06-30-93,ER2I < 06-30-93,ER2L < 06-30-93,ER2O < 06-30-93,ER2S < 06-30-93,ER2W < 06-30-93,EU2A,EU2C,EU2I,EU2L,EU2O,EU2S,EU2W,EV2A,UK2A,UK2C,UK2I,UK2L,UK2O,UK2S,UK2W","",""
"027","EV","Belarus","EU","54.00N","27.30E","16","29","A","11-15-45","UC,EU > 01-01-94,EV > 01-01-94,EW > 01-01-94,RC,RK2C,U2C,R2C,EK2C,EM2C,EN2C,EO2C,ER2C,EX2C,EY2C,EZ2C,EK2A,EK2C,EK2I,EK2L,EK2O,EK2S,EK2W,EM2A,EM2I,EM2L,EM2O,EM2S,EM2W,EN2A,EN2I,EN2L,EN2O,EN2S,EN2W,EO2A,EO2I,EO2L,EO2O,EO2S,EO2W,ER2A < 06-30-93,ER2I < 06-30-93,ER2L < 06-30-93,ER2O < 06-30-93,ER2S < 06-30-93,ER2W < 06-30-93,EU2A,EU2C,EU2I,EU2L,EU2O,EU2S,EU2W,EV2A,UK2A,UK2C,UK2I,UK2L,UK2O,UK2S,UK2W","",""
"028","KZ5","Canal Zone","NA","9.00N","79.30W","7","11","D","09-30-79","KZ5","",""
"029","EA8","Canary Is.","AF","28.00N","15.00W","33","36","A","11-15-45","EA8,EC8,ED8,EE8,EF8,EG8,EH8,AM8,AN8,AO8,EB8","",""
"029","EC8","Canary Is.","AF","28.00N","15.00W","33","36","A","11-15-45","EA8,EC8,ED8,EE8,EF8,EG8,EH8,AM8,AN8,AO8,EB8","",""
"029","ED8","Canary Is.","AF","28.00N","15.00W","33","36","A","11-15-45","EA8,EC8,ED8,EE8,EF8,EG8,EH8,AM8,AN8,AO8,EB8","",""
"029","EE8","Canary Is.","AF","28.00N","15.00W","33","36","A","11-15-45","EA8,EC8,ED8,EE8,EF8,EG8,EH8,AM8,AN8,AO8,EB8","",""
"029","EG8","Canary Is.","AF","28.00N","15.00W","33","36","A","11-15-45","EA8,EC8,ED8,EE8,EF8,EG8,EH8,AM8,AN8,AO8,EB8","",""
"029","EH8","Canary Is.","AF","28.00N","15.00W","33","36","A","11-15-45","EA8,EC8,ED8,EE8,EF8,EG8,EH8,AM8,AN8,AO8,EB8","",""
"029","AM8","Canary Is.","AF","28.00N","15.00W","33","36","A","11-15-45","EA8,EC8,ED8,EE8,EF8,EG8,EH8,AM8,AN8,AO8,EB8","",""
"029","AN8","Canary Is.","AF","28.00N","15.00W","33","36","A","11-15-45","EA8,EC8,ED8,EE8,EF8,EG8,EH8,AM8,AN8,AO8,EB8","",""
"029","AO8","Canary Is.","AF","28.00N","15.00W","33","36","A","11-15-45","EA8,EC8,ED8,EE8,EF8,EG8,EH8,AM8,AN8,AO8,EB8","",""
"029","EB8","Canary Is.","AF","28.00N","15.00W","33","36","A","11-15-45","EA8,EC8,ED8,EE8,EF8,EG8,EH8,AM8,AN8,AO8,EB8","",""
"030","PK6","Celebe & Molucca Is.","OC","6.00S","107.00E","28","54","D","05-01-63","PK6","",""
"031","T31","C.Kiribati (British Phoenix Is.)","OC","4.00S","171.00W","31","62","A","11-15-45","T31,T3P","",""
"031","T62","C.Kiribati (British Phoenix Is.)","OC","4.00S","171.00W","31","62","A","11-15-45","T31,T3P","",""
"032","EA9","Ceuta & Melilla","AF","36.42N","5.24W","33","37","A","11-15-45","EA9,EB9,EC9,ED9,EE9,EF9,EG9,EH9,AM9,AN9,AO9","",""
"032","EB9","Ceuta & Melilla","AF","36.42N","5.24W","33","37","A","11-15-45","EA9,EB9,EC9,ED9,EE9,EF9,EG9,EH9,AM9,AN9,AO9","",""
"032","EC9","Ceuta & Melilla","AF","36.42N","5.24W","33","37","A","11-15-45","EA9,EB9,EC9,ED9,EE9,EF9,EG9,EH9,AM9,AN9,AO9","",""
"032","ED9","Ceuta & Melilla","AF","36.42N","5.24W","33","37","A","11-15-45","EA9,EB9,EC9,ED9,EE9,EF9,EG9,EH9,AM9,AN9,AO9","",""
"032","EE9","Ceuta & Melilla","AF","36.42N","5.24W","33","37","A","11-15-45","EA9,EB9,EC9,ED9,EE9,EF9,EG9,EH9,AM9,AN9,AO9","",""
"032","EF9","Ceuta & Melilla","AF","36.42N","5.24W","33","37","A","11-15-45","EA9,EB9,EC9,ED9,EE9,EF9,EG9,EH9,AM9,AN9,AO9","",""
"032","EG9","Ceuta & Melilla","AF","36.42N","5.24W","33","37","A","11-15-45","EA9,EB9,EC9,ED9,EE9,EF9,EG9,EH9,AM9,AN9,AO9","",""
"032","EH9","Ceuta & Melilla","AF","36.42N","5.24W","33","37","A","11-15-45","EA9,EB9,EC9,ED9,EE9,EF9,EG9,EH9,AM9,AN9,AO9","",""
"032","AM9","Ceuta & Melilla","AF","36.42N","5.24W","33","37","A","11-15-45","EA9,EB9,EC9,ED9,EE9,EF9,EG9,EH9,AM9,AN9,AO9","",""
"032","AN9","Ceuta & Melilla","AF","36.42N","5.24W","33","37","A","11-15-45","EA9,EB9,EC9,ED9,EE9,EF9,EG9,EH9,AM9,AN9,AO9","",""
"032","AO9","Ceuta & Melilla","AF","36.42N","5.24W","33","37","A","11-15-45","EA9,EB9,EC9,ED9,EE9,EF9,EG9,EH9,AM9,AN9,AO9","",""
"033","VQ9","Chagos Is.","AF","7.18S","72.24E","39","41","A","11-15-45","VQ9","",""
"034","ZL7","Chatham Is.","OC","44.00S","176.00W","32","60","A","11-15-45","ZL7,ZM7,ZL2UW/C,ZL1AMO/C","",""
"035","VK9X","Christmas I.","OC","10.30S","105.42E","29","54","A","11-15-45","VK9X,AX9X","",""
"035","AK9X","Christmas I.","OC","10.30S","105.42E","29","54","A","11-15-45","VK9X,AX9X","",""
"036","FO/C","Clipperton I.","NA","10.18N","109.12W","7","10","A","11-15-45","FO0X,FO0CI","",""
"037","TI9","Cocos I.","NA","5.00N","87.00W","7","11","A","11-15-45","TI9,TE9","",""
"127","VK9K","Kamaran Is.","AS","15.35N","42.57E","21","39","D","03-10-82","VK9K","",""
"038","VK9Y","Cocos-Keeling Is.","OC","12.12S","96.48E","29","54","A","11-15-45","VK9Y,AX9Y,VK9WB,VK9EW,VK9C,VK9YJ","",""
"038","AX9Y","Cocos-Keeling Is.","OC","12.12S","96.48E","29","54","A","11-15-45","VK9Y,AX9Y,VK9WB,VK9EW,VK9C,VK9YJ","",""
"038","VK9WB","Cocos-Keeling Is.","OC","12.12S","96.48E","29","54","A","11-15-45","VK9Y,AX9Y,VK9WB,VK9EW,VK9C,VK9YJ","",""
"038","VK9C","Cocos-Keeling Is.","OC","12.12S","96.48E","29","54","A","11-15-45","VK9Y,AX9Y,VK9WB,VK9EW,VK9C,VK9YJ","",""
"038","VK9YJ","Cocos-Keeling Is.","OC","12.12S","96.48E","29","54","A","11-15-45","VK9Y,AX9Y,VK9WB,VK9EW,VK9C,VK9YJ","",""
"039","FB8","Comoros","AF","11.48S","43.42E","39","53","D","07-06-75","FB8,FH","",""
"040","SV9","Crete","EU","35.24N","25.12E","20","28","A","11-15-45","SV9,J49,SW9,SZ9,SX9,SY9","",""
"041","FT5W","Crozet I.","AF","46.30S","52.00E","39","68","A","11-15-45","FT2W,FT4W,FT5W,FT8W,FT0W,FB8W","",""
"042","CR8","Damao Diu","AS","20.41N","72.85E","22","41","D","12-31-61","CR8","",""
"043","KP5","Desecheo I.","NA","18.18N","67.30W","8","11","A","03-01-79","KP5,WP5,NP5","",""
"044","VQ9/D","Desroches","AF","4.00S","56.00E","39","53","D","06-28-76","VQ9/D","",""
"045","SV5","Dodecanese","EU","36.30N","27.30E","20","28","A","11-15-45","SV5,J45,SW5,SX5,SZ5,SY5","",""
"046","9M6","East Malaysia","OC","5.00N","117.00E","28","54","A","09-16-63","9M6,9M8,9W6,9W8","",""
"047","CE0Y","Easter I.","SA","28.00S","109.00W","12","63","A","11-15-45","CE0,XQ0,XR0,CE0A,CE0Y,CE0DFL","",""
"048","T32","E. Kiribati (Line Is.)","OC","10.00S","150.00W","31","61","A","11-15-45","T32,T3L","",""
"049","3C","Equatorial Guinea","AF","1.48N","10.00E","36","47","A","11-15-45","3C","",""
"050","XE","Mexico","NA","19.40N","99.42W","6","10","A","11-15-45","XE,XF,4A,4B,4C,6D,6E,6F,6G,6H,6I,6J,XB,XA,XC,XD,XG,XH,XI","",""
"050","XF","Mexico","NA","19.40N","99.42W","6","10","A","11-15-45","XE,XF,4A,4B,4C,6D,6E,6F,6G,6H,6I,6J,XB,XA,XC,XD,XG,XH,XI","",""
"050","4A","Mexico","NA","19.40N","99.42W","6","10","A","11-15-45","XE,XF,4A,4B,4C,6D,6E,6F,6G,6H,6I,6J,XB,XA,XC,XD,XG,XH,XI","",""
"050","6D","Mexico","NA","19.40N","99.42W","6","10","A","11-15-45","XE,XF,4A,4B,4C,6D,6E,6F,6G,6H,6I,6J,XB,XA,XC,XD,XG,XH,XI","",""
"050","6E","Mexico","NA","19.40N","99.42W","6","10","A","11-15-45","XE,XF,4A,4B,4C,6D,6E,6F,6G,6H,6I,6J,XB,XA,XC,XD,XG,XH,XI","",""
"050","6F","Mexico","NA","19.40N","99.42W","6","10","A","11-15-45","XE,XF,4A,4B,4C,6D,6E,6F,6G,6H,6I,6J,XB,XA,XC,XD,XG,XH,XI","",""
"050","6G","Mexico","NA","19.40N","99.42W","6","10","A","11-15-45","XE,XF,4A,4B,4C,6D,6E,6F,6G,6H,6I,6J,XB,XA,XC,XD,XG,XH,XI","",""
"050","XB","Mexico","NA","19.40N","99.42W","6","10","A","11-15-45","XE,XF,4A,4B,4C,6D,6E,6F,6G,6H,6I,6J,XB,XA,XC,XD,XG,XH,XI","",""
"050","XA","Mexico","NA","19.40N","99.42W","6","10","A","11-15-45","XE,XF,4A,4B,4C,6D,6E,6F,6G,6H,6I,6J,XB,XA,XC,XD,XG,XH,XI","",""
"050","XC","Mexico","NA","19.40N","99.42W","6","10","A","11-15-45","XE,XF,4A,4B,4C,6D,6E,6F,6G,6H,6I,6J,XB,XA,XC,XD,XG,XH,XI","",""
"050","XD","Mexico","NA","19.40N","99.42W","6","10","A","11-15-45","XE,XF,4A,4B,4C,6D,6E,6F,6G,6H,6I,6J,XB,XA,XC,XD,XG,XH,XI","",""
"050","XG","Mexico","NA","19.40N","99.42W","6","10","A","11-15-45","XE,XF,4A,4B,4C,6D,6E,6F,6G,6H,6I,6J,XB,XA,XC,XD,XG,XH,XI","",""
"050","XH","Mexico","NA","19.40N","99.42W","6","10","A","11-15-45","XE,XF,4A,4B,4C,6D,6E,6F,6G,6H,6I,6J,XB,XA,XC,XD,XG,XH,XI","",""
"050","XI","Mexico","NA","19.40N","99.42W","6","10","A","11-15-45","XE,XF,4A,4B,4C,6D,6E,6F,6G,6H,6I,6J,XB,XA,XC,XD,XG,XH,XI","",""
"051","E3","Eritrea","AF","9.00N","39.00E","37","48","A","11-15-45","ET2 < 11-14-62,E3 > 05-24-91","",""
"052","ES","Estonia","EU","59.00N","25.00E","15","29","A","11-15-45","ES,UR < 03-01-93,UK2T < 03-01-93,RU2R < 03-01-93,RU2T < 03-01-93","",""
"053","ET","Ethiopia","AF","9.00N","39.00E","37","48","A","11-15-45","ET,9E,9F","",""
"053","9E","Ethiopia","AF","9.00N","39.00E","37","48","A","11-15-45","ET,9E,9F","",""
"053","9F","Ethiopia","AF","9.00N","39.00E","37","48","A","11-15-45","ET,9E,9F","",""
"055","VQ9/F","Farquhar","AF","4.00S","56.00E","39","53","D","06-28-76","VQ9/F","",""
"056","PY0F","Fernando de Noronha","SA","3.00S","32.00W","11","13","A","11-15-45","PY0F,ZX0F,ZZ0F,ZV0F,ZW0F,ZY0F,PP0F,PQ0F,PR0F,PS0F,PT0F,PU0F,PV0F,PW0F,PX0F,PY0F","",""
"057","FQ8","Fr. Equatorial Africa","AF","30.00N","31.30W","36","57","D","08-16-60","FQ8","",""
"058","FI8","French Indo-China","AS","10.48N","106.42E","26","49","D","10-21-50","FI8","",""
"059","FF","French West Africa","AF","8.92S","34.50E","35","46","D","06-07-60","FF","",""
"061","R1FJ","Franz Josef Land","EU","80.00N","50.00E","40","75","A","11-15-45","4K2 < 07-01-94,UA1O < 07-01-94,R1FJ > 01-01-94","",""
"061","4K2","Franz Josef Land","EU","80.00N","50.00E","40","75","A","11-15-45","4K2 < 07-01-94,UA1O < 07-01-94,R1FJ > 01-01-94","",""
"061","UA1O","Franz Josef Land","EU","80.00N","50.00E","40","75","A","11-15-45","4K2 < 07-01-94,UA1O < 07-01-94,R1FJ > 01-01-94","",""
"062","8P","Barbados","NA","11.30N","59.30W","8","11","A","11-15-45","8P","",""
"063","FY","French Guiana","SA","4.76N","53.00W","9","12","A","11-15-45","FY,TO9IS > 10-11-95","",""
"063","TO9IS","French Guiana","SA","4.76N","53.00W","9","12","A","11-15-45","FY,TO9IS > 10-11-95","",""
"064","VP9","Bermuda","NA","32.18N","64.42W","5","11","A","11-15-45","VP9","",""
